(98, 564)
(273, 232)
(441, 600)
(65, 445)
(233, 171)
(373, 584)
(177, 521)
(509, 226)
(397, 395)
(381, 484)
(698, 191)
(488, 219)
(797, 206)
(621, 41)
(764, 115)
(626, 531)
(182, 368)
(133, 186)
(463, 364)
(261, 170)
(279, 368)
(355, 461)
(423, 408)
(221, 350)
(732, 127)
(26, 230)
(3, 112)
(336, 330)
(583, 246)
(13, 351)
(303, 229)
(448, 325)
(228, 462)
(291, 390)
(286, 41)
(410, 353)
(336, 6)
(86, 63)
(29, 73)
(584, 126)
(187, 76)
(216, 273)
(634, 335)
(487, 404)
(137, 212)
(403, 515)
(155, 587)
(330, 468)
(770, 104)
(291, 391)
(504, 351)
(480, 482)
(364, 326)
(642, 291)
(649, 400)
(260, 93)
(645, 497)
(776, 340)
